ActivityMediaSubdivisionName,,ActivityStartDate,MonitoringLocationIdentifier,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode
Water,,2021-10-20,GLEC-VRWIC-A,34.601647,-112.432111,,,,pH,,5.87,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.16,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.17,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.23,None,
Water,,2021-10-19,GLEC-LCBCL-A,34.406732,-111.001555,,,,pH,,6.55,None,
Water,,2021-10-19,GLEC-LCBCL-A,34.406732,-111.001555,,,,pH,,6.56,None,
Water,,2021-10-19,GLEC-LCBCL-A,34.406732,-111.001555,,,,pH,,6.56,None,
Water,,2021-10-19,GLEC-LCBCL-A,34.406732,-111.001555,,,,pH,,6.58,None,
Water,,2021-03-24,TOHONOO'ODHAMNATION-201,32.275833,112.672222,Bottle,TOHONOO'ODHAMNATION,Bottle Sampling,pH,,6.6,None,
Water,,2021-10-19,GLEC-LCBCL-A,34.406732,-111.001555,,,,pH,,6.61,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.67,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.77,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.77,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.79,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.8,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.81,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.81,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.82,None,
Water,,2021-10-19,GLEC-LCWCL-A,34.334444,-110.936944,,,,pH,,6.83,None,
Water,,2021-10-20,GLEC-VRGBL-A,34.617318,-112.549635,,,,pH,,7.02,None,
Water,,2021-10-20,GLEC-VRGBL-A,34.617318,-112.549635,,,,pH,,7.04,None,
Water,,2021-10-20,GLEC-VRGBL-A,34.617318,-112.549635,,,,pH,,7.05,None,
Water,,2021-10-20,GLEC-VRGBL-A,34.617318,-112.549635,,,,pH,,7.05,None,
Water,,2021-10-20,GLEC-VRGBL-A,34.617318,-112.549635,,,,pH,,7.06,None,
Water,,2021-10-20,GLEC-VRGBL-A,34.617318,-112.549635,,,,pH,,7.07,None,
Water,Surface Water,2020-06-11,AZDEQ_SW-501,34.4067322,-111.001555,Unknown,AZDEQ_SW,Unknown,pH,Total,7.27,None,
Water,Surface Water,2020-08-19,AZDEQ_SW-663,34.23275,-113.6004333,Unknown,AZDEQ_SW,Unknown,pH,Total,7.3,None,
Water,Surface Water,2020-08-19,AZDEQ_SW-663,34.23275,-113.6004333,Unknown,AZDEQ_SW,Unknown,pH,Total,7.3,None,
Water,Surface Water,2020-08-19,AZDEQ_SW-663,34.23275,-113.6004333,Unknown,AZDEQ_SW,Unknown,pH,Total,7.3,None,
Water,,2021-08-12,TOHONOO'ODHAMNATION-201,32.275833,112.672222,Bottle,TOHONOO'ODHAMNATION,Bottle Sampling,pH,,7.3,None,
Water,Surface Water,2020-08-19,AZDEQ_SW-663,34.23275,-113.6004333,Unknown,AZDEQ_SW,Unknown,pH,Total,7.31,None,
Water,Surface Water,2020-08-19,AZDEQ_SW-663,34.23275,-113.6004333,Unknown,AZDEQ_SW,Unknown,pH,Total,7.31,None,
Water,Surface Water,2020-08-19,AZDEQ_SW-663,34.23275,-113.6004333,Unknown,AZDEQ_SW,Unknown,pH,Total,7.31,None,
Water,Surface Water,2020-08-19,AZDEQ_SW-663,34.23275,-113.6004333,Unknown,AZDEQ_SW,Unknown,pH,Total,7.33,None,
Water,Surface Water,2020-06-12,AZDEQ_SW-71,34.3344444,-110.9369444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.33,None,
Water,Surface Water,2020-08-19,AZDEQ_SW-663,34.23275,-113.6004333,Unknown,AZDEQ_SW,Unknown,pH,Total,7.34,None,
Water,Surface Water,2020-10-21,AZDEQ_SW-666,34.5952778,-112.4166389,Unknown,AZDEQ_SW,Unknown,pH,Total,7.35,None,
Water,Surface Water,2020-06-11,AZDEQ_SW-501,34.4067322,-111.001555,Unknown,AZDEQ_SW,Unknown,pH,Total,7.35,None,
Water,Surface Water,2020-06-12,AZDEQ_SW-71,34.3344444,-110.9369444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.36,None,
Water,,2021-10-12,GLEC-SRROO-A,33.676944,-111.154167,,,,pH,,7.38,None,
Water,Surface Water,2020-06-12,AZDEQ_SW-71,34.3344444,-110.9369444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.4,None,
Water,,2021-10-12,GLEC-SRROO-A,33.676944,-111.154167,,,,pH,,7.4,None,
Water,Surface Water,2020-02-26,AZDEQ_SW-63,35.2419444,-112.1869444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.42,None,
Water,Surface Water,2020-06-12,AZDEQ_SW-71,34.3344444,-110.9369444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.42,None,
Water,Surface Water,2020-06-11,AZDEQ_SW-501,34.4067322,-111.001555,Unknown,AZDEQ_SW,Unknown,pH,Total,7.42,None,
Water,,2021-10-12,GLEC-SRROO-A,33.676944,-111.154167,,,,pH,,7.44,None,
Water,Surface Water,2020-04-15,AZDEQ_SW-192,31.4986111,-110.8480556,Unknown,AZDEQ_SW,Unknown,pH,Total,7.45,None,
Water,,2021-10-12,GLEC-SRROO-A,33.676944,-111.154167,,,,pH,,7.45,None,
Water,Surface Water,2020-04-15,AZDEQ_SW-192,31.4986111,-110.8480556,Unknown,AZDEQ_SW,Unknown,pH,Total,7.46,None,
Water,Surface Water,2020-04-15,AZDEQ_SW-192,31.4986111,-110.8480556,Unknown,AZDEQ_SW,Unknown,pH,Total,7.46,None,
Water,Surface Water,2020-02-26,AZDEQ_SW-63,35.2419444,-112.1869444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.47,None,
Water,,2021-10-12,GLEC-SRROO-A,33.676944,-111.154167,,,,pH,,7.47,None,
Water,,2021-10-12,GLEC-SRROO-A,33.676944,-111.154167,,,,pH,,7.47,None,
Water,Surface Water,2020-04-15,AZDEQ_SW-192,31.4986111,-110.8480556,Unknown,AZDEQ_SW,Unknown,pH,Total,7.48,None,
Water,Surface Water,2020-02-26,AZDEQ_SW-63,35.2419444,-112.1869444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.48,None,
Water,,2021-10-12,GLEC-SRROO-A,33.676944,-111.154167,,,,pH,,7.48,None,
Water,Surface Water,2020-02-26,AZDEQ_SW-63,35.2419444,-112.1869444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.49,None,
Water,Surface Water,2020-02-26,AZDEQ_SW-63,35.2419444,-112.1869444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.49,None,
Water,,2021-10-12,GLEC-SRROO-A,33.676944,-111.154167,,,,pH,,7.49,None,
Water,Surface Water,2020-04-15,AZDEQ_SW-192,31.4986111,-110.8480556,Unknown,AZDEQ_SW,Unknown,pH,Total,7.5,None,
Water,,2020-06-10,QUECHAN_WQX-SRP03,32.73141,-114.6131,Quechan_QAPP,QUECHAN_WQX,Standard Method,pH,,7.5,None,
Water,,2021-10-12,GLEC-SRROO-A,33.676944,-111.154167,,,,pH,,7.5,None,
Water,,2021-10-12,GLEC-SRROO-A,33.676944,-111.154167,,,,pH,,7.5,None,
Water,,2021-10-12,GLEC-SRROO-A,33.676944,-111.154167,,,,pH,,7.5,None,
Water,Surface Water,2020-02-26,AZDEQ_SW-63,35.2419444,-112.1869444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.51,None,
Water,Surface Water,2020-02-26,AZDEQ_SW-63,35.2419444,-112.1869444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.51,None,
Water,Surface Water,2020-06-11,AZDEQ_SW-501,34.4067322,-111.001555,Unknown,AZDEQ_SW,Unknown,pH,Total,7.51,None,
Water,Surface Water,2020-06-12,AZDEQ_SW-71,34.3344444,-110.9369444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.51,None,
Water,Surface Water,2020-08-19,AZDEQ_SW-663,34.23275,-113.6004333,Unknown,AZDEQ_SW,Unknown,pH,Total,7.51,None,
Water,,2021-10-12,GLEC-SRROO-A,33.676944,-111.154167,,,,pH,,7.51,None,
Water,,2021-10-12,GLEC-SRROO-A,33.676944,-111.154167,,,,pH,,7.51,None,
Water,Surface Water,2020-02-26,AZDEQ_SW-63,35.2419444,-112.1869444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.53,None,
Water,Surface Water,2020-02-26,AZDEQ_SW-63,35.2419444,-112.1869444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.53,None,
Water,Surface Water,2020-04-15,AZDEQ_SW-192,31.4986111,-110.8480556,Unknown,AZDEQ_SW,Unknown,pH,Total,7.55,None,
Water,Surface Water,2020-06-11,AZDEQ_SW-501,34.4067322,-111.001555,Unknown,AZDEQ_SW,Unknown,pH,Total,7.55,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.55,None,
Water,Surface Water,2020-02-26,AZDEQ_SW-63,35.2419444,-112.1869444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.57,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.58,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.59,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.59,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.59,None,
Water,Surface Water,2020-04-15,AZDEQ_SW-192,31.4986111,-110.8480556,Unknown,AZDEQ_SW,Unknown,pH,Total,7.6,None,
Water,Surface Water,2020-06-12,AZDEQ_SW-71,34.3344444,-110.9369444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.61,None,
Water,Surface Water,2020-02-26,AZDEQ_SW-63,35.2419444,-112.1869444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.62,None,
Water,Surface Water,2020-10-21,AZDEQ_SW-1019,34.6016472,-112.4321111,Unknown,AZDEQ_SW,Unknown,pH,Total,7.63,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.68,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.68,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.68,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.68,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.68,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.68,None,
Water,Surface Water,2020-06-12,AZDEQ_SW-71,34.3344444,-110.9369444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.69,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.69,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.69,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.69,None,
Water,Surface Water,2020-06-11,AZDEQ_SW-501,34.4067322,-111.001555,Unknown,AZDEQ_SW,Unknown,pH,Total,7.7,None,
Water,Surface Water,2020-06-11,AZDEQ_SW-501,34.4067322,-111.001555,Unknown,AZDEQ_SW,Unknown,pH,Total,7.7,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.7,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.7,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.7,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.7,None,
Water,,2021-06-24,QUECHAN_WQX-SRP03,32.73141,-114.6131,Quechan_QAPP,QUECHAN_WQX,Standard Method,pH,,7.7,None,
Water,,2021-08-10,TOHONOO'ODHAMNATION-203,31.949278,112.519583,Bottle,TOHONOO'ODHAMNATION,Bottle Sampling,pH,,7.7,None,
Water,Surface Water,2020-06-11,AZDEQ_SW-501,34.4067322,-111.001555,Unknown,AZDEQ_SW,Unknown,pH,Total,7.71,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.71,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.71,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.71,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.71,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.71,None,
Water,Surface Water,2020-04-15,AZDEQ_SW-192,31.4986111,-110.8480556,Unknown,AZDEQ_SW,Unknown,pH,Total,7.72,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.72,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.72,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.72,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.72,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.73,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.73,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.73,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.73,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.73,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.74,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.74,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.74,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.75,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.75,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.75,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.75,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.77,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.77,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.78,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.78,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.78,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.79,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.79,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.79,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.79,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.79,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.79,None,
Water,Surface Water,2021-04-06,USGS-332055112344901,,,40,USGS parameter code 82398,Multiple verticals,pH,Total,7.8,std units,
Water,Surface Water,2020-06-11,AZDEQ_SW-501,34.4067322,-111.001555,Unknown,AZDEQ_SW,Unknown,pH,Total,7.8,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.8,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.8,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.8,None,
Water,,2021-03-25,QUECHAN_WQX-SRP03,32.73141,-114.6131,Quechan_QAPP,QUECHAN_WQX,Standard Method,pH,,7.8,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.81,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.81,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.81,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.81,None,
Water,Surface Water,2020-06-11,AZDEQ_SW-501,34.4067322,-111.001555,Unknown,AZDEQ_SW,Unknown,pH,Total,7.82,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.82,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.82,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.82,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.82,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.82,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.82,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.82,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.82,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.82,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.82,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.82,None,
Water,Surface Water,2020-06-12,AZDEQ_SW-71,34.3344444,-110.9369444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.83,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.83,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.83,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.83,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.84,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.84,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.84,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.85,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.85,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.85,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.85,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.85,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.86,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.86,None,
