,ActivityMediaSubdivisionName,ActivityStartDate,MonitoringLocationIdentifier,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName,ResultMeasureValue
1391,Surface Water,2020-04-07,AZDEQ_SW-763,34.6382778,-113.2120278,Magnesium,12.0
1261,Surface Water,2020-01-28,AZDEQ_SW-829,34.8651667,-112.4294167,Magnesium,20.0
1262,Surface Water,2020-01-28,AZDEQ_SW-829,34.8651667,-112.4294167,Magnesium,20.0
1199,Surface Water,2020-01-28,AZDEQ_SW-830,34.8619444,-112.4327778,Magnesium,22.0
1464,Surface Water,2020-01-28,AZDEQ_SW-831,34.8636111,-112.0772222,Magnesium,9.0
1263,Surface Water,2020-01-28,AZDEQ_SW-832,34.8644444,-112.0833056,Magnesium,20.0
1331,Surface Water,2020-01-28,AZDEQ_SW-839,34.8938889,-112.2133333,Magnesium,16.0
886,Surface Water,2020-11-14,AZDEQ_SW-874,34.4625278,-113.6243889,Magnesium,36.0
1930,Surface Water,2020-03-19,AZDEQ_SW-995,33.2765847,-111.0277553,Magnesium,1.4
1392,Surface Water,2020-02-18,AZDEQ_SW-996,34.42092,-111.26352,Magnesium,12.0
236,,2020-02-11,FMYN_WQX-CW1,33.56979,111.70843,Magnesium,110.0
1250,,2020-01-15,FMYN_WQX-VR1,33.71378,111.652,Magnesium,20.1
1149,,2020-04-30,FMYN_WQX-VR1,33.71378,111.652,Magnesium,23.6
1334,,2020-07-29,FMYN_WQX-VR1,33.71378,111.652,Magnesium,15.8
1235,,2020-01-15,FMYN_WQX-VR5,33.62367,111.6686,Magnesium,20.9
1151,,2020-04-30,FMYN_WQX-VR5,33.62367,111.6686,Magnesium,23.5
1316,,2020-07-29,FMYN_WQX-VR5,33.62367,111.6686,Magnesium,17.0
1243,,2020-01-15,FMYN_WQX-VR7,33.60681,111.6791,Magnesium,20.5
1175,,2020-05-05,FMYN_WQX-VR7,33.60681,111.6791,Magnesium,22.5
1307,,2020-07-30,FMYN_WQX-VR7,33.60681,111.6791,Magnesium,18.3
1315,,2020-07-30,FMYN_WQX-VR7,33.60681,111.6791,Magnesium,17.8
1238,,2020-01-15,FMYN_WQX-VR9,33.571,111.6691,Magnesium,20.8
1180,,2020-05-05,FMYN_WQX-VR9,33.571,111.6691,Magnesium,22.3
1318,,2020-07-30,FMYN_WQX-VR9,33.571,111.6691,Magnesium,17.0
1338,,2020-11-18,SRPMIC-SR-1,33.546683,-111.660333,Magnesium,15.0
1339,,2021-03-30,SRPMIC-SR-1,33.546683,-111.660333,Magnesium,15.0
1283,,2020-11-18,SRPMIC-SR-2,33.5389,-111.671917,Magnesium,19.0
1311,,2021-03-30,SRPMIC-SR-2,33.5389,-111.671917,Magnesium,18.0
1110,,2020-11-18,SRPMIC-VR-1,33.557667,-111.667983,Magnesium,25.0
1070,,2021-03-30,SRPMIC-VR-1,33.557667,-111.667983,Magnesium,27.0
1111,,2020-11-18,SRPMIC-VR-2,33.566806,-111.666583,Magnesium,25.0
1071,,2021-03-30,SRPMIC-VR-2,33.566806,-111.666583,Magnesium,27.0
1271,,2020-02-25,USEPA_REGION8-CGCLR713.70,36.921667,-111.483611,Magnesium,19.5
1272,,2020-02-25,USEPA_REGION8-CGCLR713.70,36.921667,-111.483611,Magnesium,19.5
1278,,2020-02-25,USEPA_REGION8-CGCLR713.70,36.921667,-111.483611,Magnesium,19.3
1279,,2020-02-25,USEPA_REGION8-CGCLR713.70,36.921667,-111.483611,Magnesium,19.3
1221,,2021-09-23,USEPA_REGION8-CGCLR713.70,36.921667,-111.483611,Magnesium,21.2
1223,,2021-09-23,USEPA_REGION8-CGCLR713.70,36.921667,-111.483611,Magnesium,21.1
2005,,2021-09-23,USEPA_REGION8-CGCLR713.70,36.921667,-111.483611,Magnesium,0.049
2006,,2021-09-23,USEPA_REGION8-CGCLR713.70,36.921667,-111.483611,Magnesium,0.049
1309,Surface Water,2020-01-21,USGS-09380000,,,Magnesium,18.0
1302,Surface Water,2020-02-03,USGS-09380000,,,Magnesium,18.9
1251,Surface Water,2020-02-18,USGS-09380000,,,Magnesium,20.0
1222,Surface Water,2020-03-11,USGS-09380000,,,Magnesium,21.1
1205,Surface Water,2020-03-25,USGS-09380000,,,Magnesium,21.7
1220,Surface Water,2020-04-14,USGS-09380000,,,Magnesium,21.2
1241,Surface Water,2020-05-06,USGS-09380000,,,Magnesium,20.5
1269,Surface Water,2020-05-19,USGS-09380000,,,Magnesium,19.7
1276,Surface Water,2020-06-16,USGS-09380000,,,Magnesium,19.3
1280,Surface Water,2020-07-28,USGS-09380000,,,Magnesium,19.2
1304,Surface Water,2020-08-25,USGS-09380000,,,Magnesium,18.5
1274,Surface Water,2020-10-07,USGS-09380000,,,Magnesium,19.3
1275,Surface Water,2020-11-10,USGS-09380000,,,Magnesium,19.3
1268,Surface Water,2020-12-17,USGS-09380000,,,Magnesium,19.8
1247,Surface Water,2021-01-11,USGS-09380000,,,Magnesium,20.2
1218,Surface Water,2021-02-10,USGS-09380000,,,Magnesium,21.3
1215,Surface Water,2021-02-25,USGS-09380000,,,Magnesium,21.4
1176,Surface Water,2021-03-15,USGS-09380000,,,Magnesium,22.4
1201,Surface Water,2021-03-29,USGS-09380000,,,Magnesium,21.9
1236,Surface Water,2021-04-13,USGS-09380000,,,Magnesium,20.8
1270,Surface Water,2021-04-26,USGS-09380000,,,Magnesium,19.7
1206,Surface Water,2021-05-24,USGS-09380000,,,Magnesium,21.7
1219,Surface Water,2021-06-22,USGS-09380000,,,Magnesium,21.3
1249,Surface Water,2021-07-20,USGS-09380000,,,Magnesium,20.1
1242,Surface Water,2021-08-17,USGS-09380000,,,Magnesium,20.5
1212,Surface Water,2021-10-18,USGS-09380000,,,Magnesium,21.5
1207,Surface Water,2021-11-15,USGS-09380000,,,Magnesium,21.7
781,Surface Water,2020-03-11,USGS-09382000,,,Magnesium,40.0
1068,Surface Water,2020-05-06,USGS-09382000,,,Magnesium,27.0
1184,Surface Water,2021-09-11,USGS-09383060,,,Magnesium,22.0
497,Surface Water,2020-08-16,USGS-09402300,,,Magnesium,63.0
761,Surface Water,2021-02-23,USGS-09402450,,,Magnesium,41.0
1252,Surface Water,2020-08-19,USGS-09402500,,,Magnesium,20.0
1158,Surface Water,2021-03-19,USGS-09402500,,,Magnesium,23.0
1185,Surface Water,2021-03-23,USGS-09402500,,,Magnesium,22.0
1053,Surface Water,2021-03-09,USGS-09403013,,,Magnesium,28.0
1033,Surface Water,2020-11-05,USGS-09403043,,,Magnesium,29.0
1054,Surface Water,2021-03-03,USGS-09403043,,,Magnesium,28.0
435,Surface Water,2020-02-22,USGS-09403850,,,Magnesium,67.0
436,Surface Water,2020-08-20,USGS-09403850,,,Magnesium,67.0
431,Surface Water,2021-09-17,USGS-09403850,,,Magnesium,67.6
762,Surface Water,2020-10-21,USGS-09404110,,,Magnesium,41.0
732,Surface Water,2021-01-21,USGS-09404110,,,Magnesium,42.0
733,Surface Water,2020-02-23,USGS-09404115,,,Magnesium,42.0
763,Surface Water,2020-08-22,USGS-09404115,,,Magnesium,41.0
797,Surface Water,2020-08-22,USGS-09404115,,,Magnesium,39.0
1156,Surface Water,2021-09-18,USGS-09404135,,,Magnesium,23.1
1281,Surface Water,2020-03-04,USGS-09404200,,,Magnesium,19.0
1224,Surface Water,2020-10-02,USGS-09404200,,,Magnesium,21.0
1225,Surface Water,2021-03-05,USGS-09404200,,,Magnesium,21.0
557,Surface Water,2021-02-18,USGS-09404222,,,Magnesium,56.0
314,Surface Water,2020-02-04,USGS-09415000,,,Magnesium,87.3
268,Surface Water,2020-06-16,USGS-09415000,,,Magnesium,98.5
279,Surface Water,2020-08-25,USGS-09415000,,,Magnesium,94.0
295,Surface Water,2020-12-01,USGS-09415000,,,Magnesium,90.0
299,Surface Water,2021-02-09,USGS-09415000,,,Magnesium,89.8
322,Surface Water,2021-02-09,USGS-09415000,,,Magnesium,86.2
228,Surface Water,2021-06-08,USGS-09415000,,,Magnesium,110.0
241,Surface Water,2021-06-08,USGS-09415000,,,Magnesium,108.0
1095,Surface Water,2020-09-01,USGS-09424000,,,Magnesium,26.0
1102,Surface Water,2020-12-10,USGS-09424000,,,Magnesium,25.4
1115,Surface Water,2021-03-23,USGS-09424000,,,Magnesium,24.9
1117,Surface Water,2021-06-08,USGS-09424000,,,Magnesium,24.8
1244,Surface Water,2020-07-22,USGS-09426600,,,Magnesium,20.4
1245,Surface Water,2020-08-25,USGS-09426600,,,Magnesium,20.4
1240,Surface Water,2021-02-24,USGS-09426600,,,Magnesium,20.6
1248,Surface Water,2021-08-12,USGS-09426600,,,Magnesium,20.2
1216,Surface Water,2020-01-15,USGS-09505800,,,Magnesium,21.4
1178,Surface Water,2020-02-14,USGS-09505800,,,Magnesium,22.3
1428,Surface Water,2020-02-26,USGS-09505800,,,Magnesium,10.9
1602,Surface Water,2020-03-20,USGS-09505800,,,Magnesium,5.78
1348,Surface Water,2020-03-30,USGS-09505800,,,Magnesium,14.7
1306,Surface Water,2020-04-17,USGS-09505800,,,Magnesium,18.3
1181,Surface Water,2020-04-29,USGS-09505800,,,Magnesium,22.1
1143,Surface Water,2020-05-22,USGS-09505800,,,Magnesium,23.7
1144,Surface Water,2020-06-22,USGS-09505800,,,Magnesium,23.7
1139,Surface Water,2020-07-28,USGS-09505800,,,Magnesium,23.9
1127,Surface Water,2020-08-24,USGS-09505800,,,Magnesium,24.2
1122,Surface Water,2020-09-17,USGS-09505800,,,Magnesium,24.5
1118,Surface Water,2020-09-30,USGS-09505800,,,Magnesium,24.8
1121,Surface Water,2020-10-13,USGS-09505800,,,Magnesium,24.7
1119,Surface Water,2020-10-29,USGS-09505800,,,Magnesium,24.8
1109,Surface Water,2020-11-30,USGS-09505800,,,Magnesium,25.1
1103,Surface Water,2020-12-21,USGS-09505800,,,Magnesium,25.4
1107,Surface Water,2021-01-28,USGS-09505800,,,Magnesium,25.2
1123,Surface Water,2021-02-11,USGS-09505800,,,Magnesium,24.5
1116,Surface Water,2021-02-26,USGS-09505800,,,Magnesium,24.9
1148,Surface Water,2021-03-12,USGS-09505800,,,Magnesium,23.6
1153,Surface Water,2021-03-26,USGS-09505800,,,Magnesium,23.3
1145,Surface Water,2021-04-09,USGS-09505800,,,Magnesium,23.7
1140,Surface Water,2021-04-23,USGS-09505800,,,Magnesium,23.9
1152,Surface Water,2021-05-18,USGS-09505800,,,Magnesium,23.4
1179,Surface Water,2021-07-09,USGS-09505800,,,Magnesium,22.3
1146,Surface Water,2021-07-20,USGS-09505800,,,Magnesium,23.7
1171,Surface Water,2021-08-10,USGS-09505800,,,Magnesium,22.7
1147,Surface Water,2021-09-07,USGS-09505800,,,Magnesium,23.7
1128,Surface Water,2021-09-21,USGS-09505800,,,Magnesium,24.1
1141,Surface Water,2021-10-12,USGS-09505800,,,Magnesium,23.9
869,Surface Water,2020-01-07,USGS-09522000,,,Magnesium,36.6
1010,Surface Water,2020-02-12,USGS-09522000,,,Magnesium,30.4
986,Surface Water,2020-02-20,USGS-09522000,,,Magnesium,31.4
1006,Surface Water,2020-02-26,USGS-09522000,,,Magnesium,30.7
1011,Surface Water,2020-03-10,USGS-09522000,,,Magnesium,30.3
983,Surface Water,2020-03-24,USGS-09522000,,,Magnesium,31.7
1047,Surface Water,2020-04-07,USGS-09522000,,,Magnesium,28.6
1012,Surface Water,2020-04-21,USGS-09522000,,,Magnesium,30.2
982,Surface Water,2020-06-29,USGS-09522000,,,Magnesium,31.8
1028,Surface Water,2020-08-11,USGS-09522000,,,Magnesium,29.5
870,Surface Water,2020-10-13,USGS-09522000,,,Magnesium,36.6
909,Surface Water,2020-12-15,USGS-09522000,,,Magnesium,34.8
988,Surface Water,2021-01-13,USGS-09522000,,,Magnesium,31.2
934,Surface Water,2021-01-26,USGS-09522000,,,Magnesium,34.0
965,Surface Water,2021-02-09,USGS-09522000,,,Magnesium,32.6
989,Surface Water,2021-02-23,USGS-09522000,,,Magnesium,31.2
1043,Surface Water,2021-03-09,USGS-09522000,,,Magnesium,28.9
1008,Surface Water,2021-03-23,USGS-09522000,,,Magnesium,30.6
1062,Surface Water,2021-04-06,USGS-09522000,,,Magnesium,27.9
1044,Surface Water,2021-04-20,USGS-09522000,,,Magnesium,28.9
1014,Surface Water,2021-06-15,USGS-09522000,,,Magnesium,30.1
1003,Surface Water,2021-07-13,USGS-09522000,,,Magnesium,30.9
1030,Surface Water,2021-08-10,USGS-09522000,,,Magnesium,29.4
1016,Surface Water,2020-02-21,USGS-09522005,,,Magnesium,30.0
1013,Surface Water,2020-03-26,USGS-09522005,,,Magnesium,30.2
1031,Surface Water,2020-04-23,USGS-09522005,,,Magnesium,29.1
950,Surface Water,2020-05-27,USGS-09522005,,,Magnesium,33.1
977,Surface Water,2020-06-10,USGS-09522005,,,Magnesium,32.0
1005,Surface Water,2020-07-07,USGS-09522005,,,Magnesium,30.8
1004,Surface Water,2020-08-20,USGS-09522005,,,Magnesium,30.9
964,Surface Water,2020-09-10,USGS-09522005,,,Magnesium,32.7
873,Surface Water,2020-10-06,USGS-09522005,,,Magnesium,36.4
987,Surface Water,2021-01-06,USGS-09522005,,,Magnesium,31.4
966,Surface Water,2021-02-26,USGS-09522005,,,Magnesium,32.6
985,Surface Water,2021-03-26,USGS-09522005,,,Magnesium,31.5
1051,Surface Water,2021-04-28,USGS-09522005,,,Magnesium,28.2
1029,Surface Water,2021-05-13,USGS-09522005,,,Magnesium,29.5
1007,Surface Water,2021-06-24,USGS-09522005,,,Magnesium,30.7
1027,Surface Water,2021-07-27,USGS-09522005,,,Magnesium,29.8
984,Surface Water,2021-08-24,USGS-09522005,,,Magnesium,31.7
1050,Surface Water,2021-09-03,USGS-09522005,,,Magnesium,28.3
708,Surface Water,2020-01-24,USGS-09534000,,,Magnesium,43.5
779,Surface Water,2020-02-19,USGS-09534000,,,Magnesium,40.1
684,Surface Water,2020-03-25,USGS-09534000,,,Magnesium,44.2
759,Surface Water,2020-04-22,USGS-09534000,,,Magnesium,41.3
706,Surface Water,2020-05-28,USGS-09534000,,,Magnesium,43.7
707,Surface Water,2020-06-11,USGS-09534000,,,Magnesium,43.6
730,Surface Water,2020-07-16,USGS-09534000,,,Magnesium,42.5
739,Surface Water,2020-08-27,USGS-09534000,,,Magnesium,42.0
795,Surface Water,2020-09-24,USGS-09534000,,,Magnesium,39.5
804,Surface Water,2020-10-22,USGS-09534000,,,Magnesium,39.0
877,Surface Water,2020-11-18,USGS-09534000,,,Magnesium,36.3
766,Surface Water,2021-01-22,USGS-09534000,,,Magnesium,41.0
837,Surface Water,2021-02-18,USGS-09534000,,,Magnesium,38.0
855,Surface Water,2021-03-11,USGS-09534000,,,Magnesium,37.6
670,Surface Water,2021-04-22,USGS-09534000,,,Magnesium,46.0
622,Surface Water,2021-05-20,USGS-09534000,,,Magnesium,49.1
672,Surface Water,2021-06-23,USGS-09534000,,,Magnesium,45.8
666,Surface Water,2021-07-08,USGS-09534000,,,Magnesium,46.2
716,Surface Water,2021-08-11,USGS-09534000,,,Magnesium,43.0
754,Surface Water,2021-09-02,USGS-09534000,,,Magnesium,41.9
895,Surface Water,2021-10-21,USGS-09534000,,,Magnesium,35.1
916,Surface Water,2020-01-24,USGS-09534550,,,Magnesium,34.1
1009,Surface Water,2020-02-19,USGS-09534550,,,Magnesium,30.5
902,Surface Water,2020-03-25,USGS-09534550,,,Magnesium,35.0
860,Surface Water,2020-04-30,USGS-09534550,,,Magnesium,37.4
894,Surface Water,2020-05-28,USGS-09534550,,,Magnesium,35.2
892,Surface Water,2020-06-11,USGS-09534550,,,Magnesium,35.7
911,Surface Water,2020-07-16,USGS-09534550,,,Magnesium,34.7
893,Surface Water,2020-09-09,USGS-09534550,,,Magnesium,35.5
903,Surface Water,2020-10-22,USGS-09534550,,,Magnesium,35.0
907,Surface Water,2020-11-18,USGS-09534550,,,Magnesium,34.9
947,Surface Water,2021-01-07,USGS-09534550,,,Magnesium,33.5
908,Surface Water,2021-02-04,USGS-09534550,,,Magnesium,34.9
946,Surface Water,2021-04-08,USGS-09534550,,,Magnesium,33.9
981,Surface Water,2021-05-20,USGS-09534550,,,Magnesium,31.8
876,Surface Water,2021-06-09,USGS-09534550,,,Magnesium,36.3
948,Surface Water,2021-07-08,USGS-09534550,,,Magnesium,33.5
968,Surface Water,2021-08-11,USGS-09534550,,,Magnesium,32.4
914,Surface Water,2021-09-02,USGS-09534550,,,Magnesium,34.2
913,Surface Water,2021-10-21,USGS-09534550,,,Magnesium,34.5
883,Surface Water,2021-11-03,USGS-09534550,,,Magnesium,36.0
1273,Surface Water,2020-03-10,USGS-312054110162101,,,Magnesium,19.4
1282,Surface Water,2020-03-10,USGS-312055110162501,,,Magnesium,19.0
1380,Surface Water,2020-03-10,USGS-312055110162502,,,Magnesium,12.4
1174,Surface Water,2020-03-10,USGS-312056110162901,,,Magnesium,22.5
891,Surface Water,2020-09-02,USGS-324343114364901,,,Magnesium,35.9
917,Surface Water,2020-11-24,USGS-324343114364901,,,Magnesium,34.1
871,Surface Water,2021-03-16,USGS-324343114364901,,,Magnesium,36.6
867,Surface Water,2021-06-02,USGS-324343114364901,,,Magnesium,36.8
956,Surface Water,2020-04-27,USGS-324345114425401,,,Magnesium,33.0
957,Surface Water,2020-04-27,USGS-324345114425401,,,Magnesium,33.0
992,Surface Water,2020-02-13,USGS-324348114425301,,,Magnesium,31.0
978,Surface Water,2020-04-27,USGS-324348114425301,,,Magnesium,32.0
990,Surface Water,2020-04-27,USGS-324348114425301,,,Magnesium,31.0
991,Surface Water,2020-04-27,USGS-324348114425301,,,Magnesium,31.0
162,Surface Water,2021-04-07,USGS-331954112371801,,,Magnesium,128.0
169,Surface Water,2021-04-07,USGS-331954112371801,,,Magnesium,125.0
120,Surface Water,2020-11-03,USGS-332029112353701,,,Magnesium,146.0
201,Surface Water,2021-04-06,USGS-332029112353701,,,Magnesium,118.0
227,Surface Water,2021-04-06,USGS-332029112353701,,,Magnesium,111.0
219,Surface Water,2020-11-03,USGS-332055112344901,,,Magnesium,114.0
223,Surface Water,2021-04-06,USGS-332055112344901,,,Magnesium,112.0
248,Surface Water,2021-04-06,USGS-332055112344901,,,Magnesium,106.0
212,Surface Water,2021-04-06,USGS-332106112314101,,,Magnesium,116.0
221,Surface Water,2021-04-06,USGS-332106112314101,,,Magnesium,113.0
421,Surface Water,2020-11-02,USGS-332108112332001,,,Magnesium,69.9
330,Surface Water,2021-04-05,USGS-332108112332001,,,Magnesium,85.0
335,Surface Water,2021-04-05,USGS-332108112332001,,,Magnesium,84.5
447,Surface Water,2021-04-05,USGS-332255112182101,,,Magnesium,66.1
456,Surface Water,2021-04-05,USGS-332255112182101,,,Magnesium,65.4
1086,Surface Water,2020-09-09,USGS-332604114373601,,,Magnesium,26.9
1046,Surface Water,2020-12-15,USGS-332604114373601,,,Magnesium,28.7
1087,Surface Water,2021-03-30,USGS-332604114373601,,,Magnesium,26.9
1090,Surface Water,2021-05-25,USGS-332604114373601,,,Magnesium,26.3
1052,Surface Water,2020-09-10,USGS-333038114340401,,,Magnesium,28.2
1015,Surface Water,2020-12-16,USGS-333038114340401,,,Magnesium,30.1
1063,Surface Water,2021-03-31,USGS-333038114340401,,,Magnesium,27.7
1105,Surface Water,2021-05-26,USGS-333038114340401,,,Magnesium,25.4
790,Surface Water,2020-09-22,USGS-335832111425401,,,Magnesium,39.8
794,Surface Water,2020-12-08,USGS-335832111425401,,,Magnesium,39.6
872,Surface Water,2021-03-16,USGS-335832111425401,,,Magnesium,36.6
757,Surface Water,2021-06-02,USGS-335832111425401,,,Magnesium,41.6
829,Surface Water,2020-12-09,USGS-340555111422201,,,Magnesium,38.2
1094,Surface Water,2020-09-01,USGS-344459114313801,,,Magnesium,26.1
1104,Surface Water,2020-12-10,USGS-344459114313801,,,Magnesium,25.4
1126,Surface Water,2021-03-23,USGS-344459114313801,,,Magnesium,24.3
1108,Surface Water,2021-06-08,USGS-344459114313801,,,Magnesium,25.2
1142,Surface Water,2021-09-19,USGS-354614113310701,,,Magnesium,23.9
1133,Surface Water,2021-09-20,USGS-355153113400401,,,Magnesium,24.0
1101,Surface Water,2020-08-31,USGS-355241114401601,,,Magnesium,25.7
1129,Surface Water,2020-12-09,USGS-355241114401601,,,Magnesium,24.1
1131,Surface Water,2021-03-22,USGS-355241114401601,,,Magnesium,24.0
1130,Surface Water,2021-06-07,USGS-355241114401601,,,Magnesium,24.1
861,Surface Water,2021-09-19,USGS-360109113210101,,,Magnesium,37.2
1032,Surface Water,2021-09-12,USGS-360500112020501,,,Magnesium,29.1
1155,Surface Water,2021-09-19,USGS-360551113191101,,,Magnesium,23.2
915,Surface Water,2021-09-14,USGS-360558112123401,,,Magnesium,34.2
1173,Surface Water,2021-09-13,USGS-360559112053801,,,Magnesium,22.7
1213,Surface Water,2021-09-13,USGS-360707112051001,,,Magnesium,21.5
467,Surface Water,2021-09-14,USGS-360809112143701,,,Magnesium,65.0
1170,Surface Water,2021-09-12,USGS-360957111484101,,,Magnesium,22.8
605,Surface Water,2021-09-15,USGS-361151112270101,,,Magnesium,50.1
1177,Surface Water,2021-09-15,USGS-361417112205601,,,Magnesium,22.4
1157,Surface Water,2021-09-18,USGS-361626112524801,,,Magnesium,23.1
504,Surface Water,2021-09-11,USGS-361810111520501,,,Magnesium,62.9
1210,Surface Water,2021-09-11,USGS-361954111513101,,,Magnesium,21.7
281,Surface Water,2021-09-17,USGS-362037112402101,,,Magnesium,94.0
1154,Surface Water,2021-09-16,USGS-362204112275501,,,Magnesium,23.2
1305,Surface Water,2021-09-16,USGS-362220112280401,,,Magnesium,18.4
1150,Surface Water,2021-09-16,USGS-362322112302901,,,Magnesium,23.5
1172,Surface Water,2021-09-17,USGS-362330112373301,,,Magnesium,22.7
1214,Surface Water,2021-09-10,USGS-363118111504001,,,Magnesium,21.5
1208,Surface Water,2021-09-10,USGS-363351111484701,,,Magnesium,21.7
1209,Surface Water,2021-09-10,USGS-363851111454101,,,Magnesium,21.7
1182,Surface Water,2021-09-09,USGS-363932111443401,,,Magnesium,22.1
1202,Surface Water,2021-09-09,USGS-364218111423901,,,Magnesium,21.8
1125,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,Magnesium,24.4
